"problem","answer","solution","source","type","problem_type","reasonable_answer","aime_suitability","aime_answer","difficulty"
"Three cards are drawn from the top of a shuffled standard 52 -card deck. Find the probability that they are all of different suits. (A suit is either spades, clubs, hearts, or diamonds.)","$\frac{169}{425}$","Answer: 10 The prime numbers under 30 are: $2,3,5,7,11,13,17,19,23,29$. There are 10 in total.
2. [5]

Answer: 180 Albert's choice of burgers, sides, and drinks are independent events. Therefore, we can use the Multiplication Principle of Counting Independent Events to find the total number of different meals that Albert can get is:

$$
5 \times 3 \times 12=180
$$
3. [5]

Answer: $199 \pi$ The area of a circle of radius 100 is $100^{2} \pi$, and the area of a circle of radius 99 is $99^{2} \pi$. Therefore, the area of the region between them is $\left(100^{2}-99^{2}\right) \pi=(100+99)(100-99) \pi=199 \pi$.
4. [6]

Answer: $10 \angle C B D=\angle C D B$ because $B C=C D$. Notice that $\angle B C D=80+50+30=160$, so $\angle C B D=\angle C D B=10$.
5. [6]

Answer: | $\frac{20}{3}$ |
| :--- |

$$
\begin{array}{r}
20=4 a^{2}+9 b^{2} \\
20+12 a b=4 a^{2}+12 a b+9 b^{2} \\
20+12 a b=(2 a+3 b)^{2} \\
20+12 a b=100 \\
12 a b=80 \\
a b=\frac{20}{3}
\end{array}
$$

6. [6]

Answer: 25502400

$$
\begin{aligned}
& \left(1^{3}+3 \cdot 1^{2}+3 \cdot 1\right)+\left(2^{3}+3 \cdot 2^{2}+3 \cdot 2\right)+\cdots+\left(99^{3}+3 \cdot 99^{2}+3 \cdot 99\right) \\
& =\left(1^{3}+3 \cdot 1^{2}+3 \cdot 1+1\right)+\left(2^{3}+3 \cdot 2^{2}+3 \cdot 2+1\right)+\cdots+\left(99^{3}+3 \cdot 99^{2}+3 \cdot 99+1\right)-99 \\
& =(1+1)^{3}+(2+1)^{3}+\ldots(99+1)^{3}-99 \\
& =1^{3}+(1+1)^{3}+(2+1)^{3}+\ldots(99+1)^{3}-100 \\
& =\left(\frac{100(100+1)}{2}\right)^{2}-100 \\
& =25502400
\end{aligned}
$$

7. $[\mathbf{7}]$

Answer: 335

$$
\begin{aligned}
a_{n} & =1+3+3^{2}+\ldots+3^{n} \\
3 a_{n} & =3+3^{2}+3^{3}+\ldots+3^{n+1} \\
3 a_{n} & =3^{n+1}-1+S_{n} \\
a_{n} & =\frac{3^{n+1}-1}{2}
\end{aligned}
$$

Because $\operatorname{gcd}(2,7)=1$, to demonstrate that $7 \left\lvert\, a_{n}=\frac{3^{n+1}-1}{2}\right.$ is equivalent to showing that $3^{n+1}-1 \equiv 0$ mod 7

However $3^{n+1}-1=0 \bmod 7 \Longrightarrow n+1 \equiv 0 \bmod 6$, hence the values of $n \leq 2012$ are $5,11,17, \ldots$, 2009, which is in total

$$
\frac{2009+1}{6}=335
$$
possible terms.
8. $[\mathbf{7}]$

Answer: | $\frac{169}{425}","HMMT November 2012 Guts #8","counting","numerical","True","4","594","2.5"
"How many sets consist of distinct composite numbers that add up to 23 ?","4","Answer: 4 Because 23 is odd, we must have an odd number of odd numbers in our set. Since the smallest odd composite number is 9 , we cannot have more than 2 odd numbers, as otherwise the sum would be at least 27 . Therefore, the set has exactly one odd number.
The only odd composite numbers less than 23 are 9,15 , and 21 . If we include 21 , then the rest of the set must include composite numbers that add up to 2 , which is impossible. If we include 15 , then the rest of the set must include distinct even composite numbers that add up to 8 . The only possibility is the set $\{8\}$. If we include 9 , the rest of the set must contain distinct even composite numbers that add to 14 . The only possibilities are $\{14\},\{4,10\}$, and $\{6,8\}$. We have exhausted all cases, so there are a total of 4 sets.","HMMT November 2012 Guts #9","counting","numerical","True","4","4","3.0"
"Consider the sequence given by $a_{0}=1, a_{1}=1+3, a_{2}=1+3+3^{2}, a_{3}=1+3+3^{2}+3^{3}, \ldots$. Find the number of terms among $a_{0}, a_{1}, a_{2}, \ldots, a_{2012}$ that are divisible by 7 .
8. [7] Three cards are drawn from the top of a shuffled standard 52 -card deck. Find the probability that they are all of different suits. (A suit is either spades, clubs, hearts, or diamonds.)
9. [7] How many sets consist of distinct composite numbers that add up to 23 ?

## HMMT NOVEMBER 2012, 10 NOVEMBER 2012 - GUTS ROUND

10. [8] Consider the sequence defined by $a_{0}=0, a_{1}=1$, and $a_{n}=2013 a_{n-1}+2012 a_{n-2}+n$ for $n \geq 2$. Find the remainder when $a_{2012}$ is divided by 2012 .","1006","Answer: 1006 Taking both sides modulo 2012, we see that $a_{n} \equiv a_{n-1}+n(\bmod 2012)$. Therefor","HMMT November 2012 Guts #10","algebra","numerical","True","4","288","3.0"
"Find the smallest positive integer $n$ such that the number of zeroes that $n!$ ends with is a positive multiple of 5 .","45","Answer: 45 The number of zeroes that $n!$ ends with is the largest power of 10 dividing $n!$. The exponent of 5 dividing $n$ ! exceeds the exponent of 2 dividing $n!$, so we simply seek the exponent of 5 dividing $n!$.
For a number less than 125 , this exponent is just the number of multiples of 5 , but not 25 , less than $n$ plus twice the number of multiples of 25 less than $n$.
Counting up, we see that 24 ! ends with 4 zeroes while 25 ! ends with 6 zeroes, so $n$ ! cannot end with 5 zeroes. Continuing to count up, we see that the smallest $n$ such that $n!$ ends with 10 zeroes is 45","HMMT November 2012 Guts #11","number_theory","numerical","True","4","45","3.5"
"Three circles of radius 1 are drawn, whose centers form the vertices of an equilateral triangle of side length 1. Find the area of the region common to at least two of the circles.","$\frac{2 \pi-\sqrt{3}}{2}$","Answer: $\frac{2 \pi-\sqrt{3}}{2}$ Let $A_{\triangle}$ be the equilateral triangle. Let $A_{1}$ be the area of the region outside of the equilateral triangle but inside the second and third circles. Define $A_{2}, A_{3}$ analogously. We have $A_{1}=A_{2}=A_{3}=A_{k}=$

$$
\left(\frac{1^{2} \cdot \pi}{3}-\frac{1^{2} \cdot \sin 120}{2}\right)=\frac{4 \pi-3 \sqrt{3}}{12},
$$
and
$$
A_{\triangle}=\frac{1^{2} \cdot \sin 60}{2}=\frac{\sqrt{3}}{4} .
$$

Thus, the total area is

$$
A_{1}+A_{2}+A_{3}+A_{\triangle}=3 \cdot \frac{4 \pi-3 \sqrt{3}}{12}+\frac{\sqrt{3}}{4}=\frac{2 \pi-\sqrt{3}}{2} .
$$
13. $[9]$

Answer: $6 \sqrt{3}$ Let $A B$ be $x$. Then, $A C=18-7-x=11-x$. Using the law of cosines gives:

$$
\begin{aligned}
x^{2}+(11-x)^{2}-2 x(11-x) \cos 60^{\circ} & =7^{2} \\
3 x^{2}-33 x+72 & =0 \\
x & =3 \text { or } 8
\end{aligned}
$$

Therefore, $A B=8$ and $A C=3$ or $A B=3$ and $A C=8$. In both cases, the area of the triangle is:
$\frac{1}{2} \cdot 8 \cdot 3 \sin 60^{\circ}=6 \sqrt{3}$.","HMMT November 2012 Guts #12","geometry","numerical","True","4","5","2.5"
"Triangle $A B C$ has a perimeter of 18. $\angle A=60^{\circ}$, and $B C=7$. Find the area of the triangle.","$6 \sqrt{3}$","Answer: $6 \sqrt{3}$ Let $A B$ be $x$. Then, $A C=18-7-x=11-x$. Using the law of cosines gives:

$$
\begin{aligned}
x^{2}+(11-x)^{2}-2 x(11-x) \cos 60^{\circ} & =7^{2} \\
3 x^{2}-33 x+72 & =0 \\
x & =3 \text { or } 8
\end{aligned}
$$

Therefore, $A B=8$ and $A C=3$ or $A B=3$ and $A C=8$. In both cases, the area of the triangle is:
$\frac{1}{2} \cdot 8 \cdot 3 \sin 60^{\circ}=6 \sqrt{3}$.
14.","HMMT November 2012 Guts #13","geometry","numerical","True","4","9","3.0"
"Mark would like to place the numbers 1 to 7 on a circle such that the sequences along both arcs going from 1 to 7 are increasing. For example, one arc could be $1,2,4,7$ and the other could be 1 , 3, 5, 6, 7. In how many distinct ways can Mark place the numbers? Two arrangements are distinct if and only if one cannot be rotated to match the other.","32","Answer: 32 First, we can fix the position of the 1 . Then, by the condition that the numbers are increasing along each arc from 1 , we know that the 2 must be adjacent to the 1 ; so we have two options for its placement. Similarly, we have two options for placing each of $3,4,5,6$ in that order. Finally, the 7 must go in the remaining space, for a total of $2^{5}=32$ orderings.","HMMT November 2012 Guts #14","counting","numerical","True","4","32","3.5"
"Find the area of the region between two concentric circles that have radii 100 and 99 .

## HMMT NOVEMBER 2012, 10 NOVEMBER 2012 - GUTS ROUND

4. [6] $A B C D$ is a concave quadrilateral such that $\angle C B A=50^{\circ}, \angle B A D=80^{\circ}, \angle A D C=30^{\circ}$, and $C B=C D$. Find $\angle C B D$.
5. $[\mathbf{6}] \quad a$ and $b$ are complex numbers such that $2 a+3 b=10$ and $4 a^{2}+9 b^{2}=20$. Find $a b$.
6. [6] Given the following formulas:

$$
\begin{aligned}
1+2+\cdots+n & =\frac{n(n+1)}{2} \\
1^{2}+2^{2}+\cdots+n^{2} & =\frac{n(n+1)(2 n+1)}{6} \\
1^{3}+2^{3}+\cdots+n^{3} & =\left(\frac{n(n+1)}{2}\right)^{2},
\end{aligned}
$$

find

$$
\left(1^{3}+3 \cdot 1^{2}+3 \cdot 1\right)+\left(2^{3}+3 \cdot 2^{2}+3 \cdot 2\right)+\cdots+\left(99^{3}+3 \cdot 99^{2}+3 \cdot 99\right) .
$$

## HMMT NOVEMBER 2012, 10 NOVEMBER 2012 - GUTS ROUND

7. [7] Consider the sequence given by $a_{0}=1, a_{1}=1+3, a_{2}=1+3+3^{2}, a_{3}=1+3+3^{2}+3^{3}, \ldots$. Find the number of terms among $a_{0}, a_{1}, a_{2}, \ldots, a_{2012}$ that are divisible by 7 .
8. [7] Three cards are drawn from the top of a shuffled standard 52 -card deck. Find the probability that they are all of different suits. (A suit is either spades, clubs, hearts, or diamonds.)
9. [7] How many sets consist of distinct composite numbers that add up to 23 ?

## HMMT NOVEMBER 2012, 10 NOVEMBER 2012 - GUTS ROUND

10. [8] Consider the sequence defined by $a_{0}=0, a_{1}=1$, and $a_{n}=2013 a_{n-1}+2012 a_{n-2}+n$ for $n \geq 2$. Find the remainder when $a_{2012}$ is divided by 2012 .
11. [8] Find the smallest positive integer $n$ such that the number of zeroes that $n!$ ends with is a positive multiple of 5 .
12. [8] Three circles of radius 1 are drawn, whose centers form the vertices of an equilateral triangle of side length 1. Find the area of the region common to at least two of the circles.

## HMMT NOVEMBER 2012, 10 NOVEMBER 2012 - GUTS ROUND

13. [9] Triangle $A B C$ has a perimeter of 18. $\angle A=60^{\circ}$, and $B C=7$. Find the area of the triangle.
14. [9] Mark would like to place the numbers 1 to 7 on a circle such that the sequences along both arcs going from 1 to 7 are increasing. For example, one arc could be $1,2,4,7$ and the other could be 1 , 3, 5, 6, 7. In how many distinct ways can Mark place the numbers? Two arrangements are distinct if and only if one cannot be rotated to match the other.
15. [9] Find the area of the region in the $x y$-plane consisting of all points $(a, b)$ such that the quadratic $a x^{2}+2(a+b-7) x+2 b=0$ has fewer than two real solutions for $x$.","$49 \pi$","Answer: $49 \pi$ To find the region in question, we want to find $(a, b)$ such that the discriminant of the quadratic is not positive. In other words, we want

$$
4(a+b-7)^{2}-4(a)(2 b) \leq 0 \Leftrightarrow a^{2}+b^{2}-7 a-7 b+49 \leq 0 \Leftrightarrow(a-7)^{2}+(b-7)^{2} \leq 49,
$$
which is a circle of radius 7 centered at ( 7,7 ) and hence has area $49 \pi$.","HMMT November 2012 Guts #15","algebra","numerical","True","3","49","1.5"
"Yuhang is making a bracelet for his one true love using beads. How many distinct bracelets can be made from 2 red beads, 2 green beads, and 2 blue beads, if two bracelets are distinct if and only if one cannot be made into the other through rotations and reflections?","11","Answer: 11 We divide this problem into cases based on the relative position of the two red beads:

- They are adjacent. Then, there are 4 possible placements of the green and blue beads: GGBB, GBBG, GBGB, BGGB.
- They are 1 bead apart. Then, there are two choices for the bead between then and 2 choices for the other bead of that color, for a total of 4 .
- They are opposite. Then, there are three choices for the placement of the green beads.

This gives a total of 11 arrangements.","HMMT November 2012 Guts #16","counting","numerical","True","4","11","3.0"
"Given that $x=\ln 30, y=\ln 360$, and $z=\ln 270$, and that there are rational numbers $p, q, r$ such that $\ln 5400=p x+q y+r z$, find the ordered triple $(p, q, r)$.","$\left(\frac{5}{4}, \frac{1}{2}, \frac{1}{4}\right)$","Answer: $\left(\frac{5}{4}, \frac{1}{2}, \frac{1}{4}\right)$ We can rewrite the equation in terms of $\ln 2, \ln 3, \ln 5$, to get
$3 \ln 2+3 \ln 3+2 \ln 5=\ln 5400=p x+q y+r z=(p+3 q+r) \ln 2+(p+2 q+3 r) \ln 3+(p+q+r) \ln 5$.
Consequently, since $p, q, r$ are rational we want to solve the system of equations $p+3 q+r=3, p+ 2 q+3 r=3, p+q+r=2$, which results in the ordered triple $\left(\frac{5}{4}, \frac{1}{2}, \frac{1}{4}\right)$.","HMMT November 2012 Guts #17","algebra","numerical","True","4","12","4.0"
"Let $\triangle A B C$ be a triangle with $A C=1$ and $\angle A B C$ obtuse. Let $D$ and $E$ be points on $A C$ such that $\angle D B C=\angle A B E=90^{\circ}$. If $A D=D E=E C$, find $A B+A C$.","$1+\frac{\sqrt{3}}{3}$","Answer: $199 \pi$ The area of a circle of radius 100 is $100^{2} \pi$, and the area of a circle of radius 99 is $99^{2} \pi$. Therefore, the area of the region between them is $\left(100^{2}-99^{2}\right) \pi=(100+99)(100-99) \pi=199 \pi$.
4. [6]

Answer: $10 \angle C B D=\angle C D B$ because $B C=C D$. Notice that $\angle B C D=80+50+30=160$, so $\angle C B D=\angle C D B=10$.
5. [6]

Answer: | $\frac{20}{3}$ |
| :--- |

$$
\begin{array}{r}
20=4 a^{2}+9 b^{2} \\
20+12 a b=4 a^{2}+12 a b+9 b^{2} \\
20+12 a b=(2 a+3 b)^{2} \\
20+12 a b=100 \\
12 a b=80 \\
a b=\frac{20}{3}
\end{array}
$$

6. [6]

Answer: 25502400

$$
\begin{aligned}
& \left(1^{3}+3 \cdot 1^{2}+3 \cdot 1\right)+\left(2^{3}+3 \cdot 2^{2}+3 \cdot 2\right)+\cdots+\left(99^{3}+3 \cdot 99^{2}+3 \cdot 99\right) \\
& =\left(1^{3}+3 \cdot 1^{2}+3 \cdot 1+1\right)+\left(2^{3}+3 \cdot 2^{2}+3 \cdot 2+1\right)+\cdots+\left(99^{3}+3 \cdot 99^{2}+3 \cdot 99+1\right)-99 \\
& =(1+1)^{3}+(2+1)^{3}+\ldots(99+1)^{3}-99 \\
& =1^{3}+(1+1)^{3}+(2+1)^{3}+\ldots(99+1)^{3}-100 \\
& =\left(\frac{100(100+1)}{2}\right)^{2}-100 \\
& =25502400
\end{aligned}
$$

7. $[\mathbf{7}]$

Answer: 335

$$
\begin{aligned}
a_{n} & =1+3+3^{2}+\ldots+3^{n} \\
3 a_{n} & =3+3^{2}+3^{3}+\ldots+3^{n+1} \\
3 a_{n} & =3^{n+1}-1+S_{n} \\
a_{n} & =\frac{3^{n+1}-1}{2}
\end{aligned}
$$

Because $\operatorname{gcd}(2,7)=1$, to demonstrate that $7 \left\lvert\, a_{n}=\frac{3^{n+1}-1}{2}\right.$ is equivalent to showing that $3^{n+1}-1 \equiv 0$ mod 7

However $3^{n+1}-1=0 \bmod 7 \Longrightarrow n+1 \equiv 0 \bmod 6$, hence the values of $n \leq 2012$ are $5,11,17, \ldots$, 2009, which is in total

$$
\frac{2009+1}{6}=335
$$
possible terms.
8. $[\mathbf{7}]$

Answer: | $\frac{169}{425}$ |
| :--- | There are 13 cards of each suit. The probability that the second card has a different suit than the first is $\frac{3 \cdot 13}{52-1}$. The probability that the third card has a different suit than the first and second card is $\frac{2 \cdot 13}{52-2}$

Since the two events need to both occur, we use the multiplicative rule:

$$
\begin{gathered}
\frac{3 \cdot 13}{52-1} \cdot \frac{2 \cdot 13}{52-2} \\
=\frac{169}{425}
\end{gathered}
$$

9. [7]

Answer: 4 Because 23 is odd, we must have an odd number of odd numbers in our set. Since the smallest odd composite number is 9 , we cannot have more than 2 odd numbers, as otherwise the sum would be at least 27 . Therefore, the set has exactly one odd number.
The only odd composite numbers less than 23 are 9,15 , and 21 . If we include 21 , then the rest of the set must include composite numbers that add up to 2 , which is impossible. If we include 15 , then the rest of the set must include distinct even composite numbers that add up to 8 . The only possibility is the set $\{8\}$. If we include 9 , the rest of the set must contain distinct even composite numbers that add to 14 . The only possibilities are $\{14\},\{4,10\}$, and $\{6,8\}$. We have exhausted all cases, so there are a total of 4 sets.
10. $[8]$

Answer: 1006 Taking both sides modulo 2012, we see that $a_{n} \equiv a_{n-1}+n(\bmod 2012)$. Therefore, $a_{2012} \equiv a_{2011}+2012 \equiv a_{2010}+2011+2012 \equiv \ldots \equiv 1+2+\ldots+2012 \equiv \frac{(2012)(2013)}{2} \equiv(1006)(2013) \equiv (1006)(1) \equiv 1006(\bmod 2012)$.
11. [8]

Answer: 45 The number of zeroes that $n!$ ends with is the largest power of 10 dividing $n!$. The exponent of 5 dividing $n$ ! exceeds the exponent of 2 dividing $n!$, so we simply seek the exponent of 5 dividing $n!$.
For a number less than 125 , this exponent is just the number of multiples of 5 , but not 25 , less than $n$ plus twice the number of multiples of 25 less than $n$.
Counting up, we see that 24 ! ends with 4 zeroes while 25 ! ends with 6 zeroes, so $n$ ! cannot end with 5 zeroes. Continuing to count up, we see that the smallest $n$ such that $n!$ ends with 10 zeroes is 45 .
12. [8]

Answer: $\frac{2 \pi-\sqrt{3}}{2}$ Let $A_{\triangle}$ be the equilateral triangle. Let $A_{1}$ be the area of the region outside of the equilateral triangle but inside the second and third circles. Define $A_{2}, A_{3}$ analogously. We have $A_{1}=A_{2}=A_{3}=A_{k}=$

$$
\left(\frac{1^{2} \cdot \pi}{3}-\frac{1^{2} \cdot \sin 120}{2}\right)=\frac{4 \pi-3 \sqrt{3}}{12},
$$
and
$$
A_{\triangle}=\frac{1^{2} \cdot \sin 60}{2}=\frac{\sqrt{3}}{4} .
$$

Thus, the total area is

$$
A_{1}+A_{2}+A_{3}+A_{\triangle}=3 \cdot \frac{4 \pi-3 \sqrt{3}}{12}+\frac{\sqrt{3}}{4}=\frac{2 \pi-\sqrt{3}}{2} .
$$
13. $[9]$

Answer: $6 \sqrt{3}$ Let $A B$ be $x$. Then, $A C=18-7-x=11-x$. Using the law of cosines gives:

$$
\begin{aligned}
x^{2}+(11-x)^{2}-2 x(11-x) \cos 60^{\circ} & =7^{2} \\
3 x^{2}-33 x+72 & =0 \\
x & =3 \text { or } 8
\end{aligned}
$$

Therefore, $A B=8$ and $A C=3$ or $A B=3$ and $A C=8$. In both cases, the area of the triangle is:
$\frac{1}{2} \cdot 8 \cdot 3 \sin 60^{\circ}=6 \sqrt{3}$.
14. [9]

Answer: 32 First, we can fix the position of the 1 . Then, by the condition that the numbers are increasing along each arc from 1 , we know that the 2 must be adjacent to the 1 ; so we have two options for its placement. Similarly, we have two options for placing each of $3,4,5,6$ in that order. Finally, the 7 must go in the remaining space, for a total of $2^{5}=32$ orderings.
15. [9]

Answer: $49 \pi$ To find the region in question, we want to find $(a, b)$ such that the discriminant of the quadratic is not positive. In other words, we want

$$
4(a+b-7)^{2}-4(a)(2 b) \leq 0 \Leftrightarrow a^{2}+b^{2}-7 a-7 b+49 \leq 0 \Leftrightarrow(a-7)^{2}+(b-7)^{2} \leq 49,
$$
which is a circle of radius 7 centered at ( 7,7 ) and hence has area $49 \pi$.
16. [10]

Answer: 11 We divide this problem into cases based on the relative position of the two red beads:

- They are adjacent. Then, there are 4 possible placements of the green and blue beads: GGBB, GBBG, GBGB, BGGB.
- They are 1 bead apart. Then, there are two choices for the bead between then and 2 choices for the other bead of that color, for a total of 4 .
- They are opposite. Then, there are three choices for the placement of the green beads.

This gives a total of 11 arrangements.
17. [10]

Answer: $\left(\frac{5}{4}, \frac{1}{2}, \frac{1}{4}\right)$ We can rewrite the equation in terms of $\ln 2, \ln 3, \ln 5$, to get
$3 \ln 2+3 \ln 3+2 \ln 5=\ln 5400=p x+q y+r z=(p+3 q+r) \ln 2+(p+2 q+3 r) \ln 3+(p+q+r) \ln 5$.
Consequently, since $p, q, r$ are rational we want to solve the system of equations $p+3 q+r=3, p+ 2 q+3 r=3, p+q+r=2$, which results in the ordered triple $\left(\frac{5}{4}, \frac{1}{2}, \frac{1}{4}\right)$.
18. [10]

Answer: $1+\frac{\sqrt{3}}{3} \quad D B C$ is a right triangle with hypotenuse $D C$. Since $D E=E C, E$ is the midpoint of this right triangle's hypotenuse, and it follows that $E$ is the circumcenter of the triangle. It follows that $B E=D E=C E$, as these are all radii of the same circle. A similar argument shows that $B D=D E=A D$.
Thus, $B D=D E=D E$, and triangle $B D E$ is equilateral. So, $\angle D B E=\angle B E D=\angle E D B=60^{\circ}$. We have $\angle B E C=180^{\circ}-\angle B E D=120^{\circ}$. Because $B E=C E$, triangle $B E C$ is isosceles and $\angle E C B=30^{\circ}$. Therefore, $D B C$ is a right triangle with $\angle D B C=90^{\circ}, \angle B C D=30^{\circ}$, and $\angle C D B=60^{\circ}$. This means that $C D=\frac{2}{\sqrt{3}} B C$. Combined iwth $C D=\frac{2}{3}$, we have $B C=\frac{\sqrt{3}}{3}$. Similarly, $A B=\frac{\sqrt{3}}{3}$, so $A B+A C=1+\frac{\sqrt{3}}{3}$.","HMMT November 2012 Guts #18","geometry","numerical","True","5","7","4.5"
"Find the number of terms among $a_{0}, a_{1}, a_{2}, \ldots, a_{2012}$ that are divisible by 7 .
8. [7] Three cards are drawn from the top of a shuffled standard 52 -card deck. Find the probability that they are all of different suits. (A suit is either spades, clubs, hearts, or diamonds.)
9. [7] How many sets consist of distinct composite numbers that add up to 23 ?

## HMMT NOVEMBER 2012, 10 NOVEMBER 2012 - GUTS ROUND

10. [8] Consider the sequence defined by $a_{0}=0, a_{1}=1$, and $a_{n}=2013 a_{n-1}+2012 a_{n-2}+n$ for $n \geq 2$. Find the remainder when $a_{2012}$ is divided by 2012 .
11. [8] Find the smallest positive integer $n$ such that the number of zeroes that $n!$ ends with is a positive multiple of 5 .
12. [8] Three circles of radius 1 are drawn, whose centers form the vertices of an equilateral triangle of side length 1. Find the area of the region common to at least two of the circles.

## HMMT NOVEMBER 2012, 10 NOVEMBER 2012 - GUTS ROUND

13. [9] Triangle $A B C$ has a perimeter of 18. $\angle A=60^{\circ}$, and $B C=7$. Find the area of the triangle.
14. [9] Mark would like to place the numbers 1 to 7 on a circle such that the sequences along both arcs going from 1 to 7 are increasing. For example, one arc could be $1,2,4,7$ and the other could be 1 , 3, 5, 6, 7. In how many distinct ways can Mark place the numbers? Two arrangements are distinct if and only if one cannot be rotated to match the other.
15. [9] Find the area of the region in the $x y$-plane consisting of all points $(a, b)$ such that the quadratic $a x^{2}+2(a+b-7) x+2 b=0$ has fewer than two real solutions for $x$.

## HMMT NOVEMBER 2012, 10 NOVEMBER 2012 - GUTS ROUND

16. [10] Yuhang is making a bracelet for his one true love using beads. How many distinct bracelets can be made from 2 red beads, 2 green beads, and 2 blue beads, if two bracelets are distinct if and only if one cannot be made into the other through rotations and reflections?
17. [10] Given that $x=\ln 30, y=\ln 360$, and $z=\ln 270$, and that there are rational numbers $p, q, r$ such that $\ln 5400=p x+q y+r z$, find the ordered triple $(p, q, r)$.
18. [10] Let $\triangle A B C$ be a triangle with $A C=1$ and $\angle A B C$ obtuse. Let $D$ and $E$ be points on $A C$ such that $\angle D B C=\angle A B E=90^{\circ}$. If $A D=D E=E C$, find $A B+A C$.

## HMMT NOVEMBER 2012, 10 NOVEMBER 2012 - GUTS ROUND

19. [11] Find the number of triples of nonnegative integers ( $x, y, z$ ) such that $15 x+21 y+35 z=525$.","21","Answer: 21 First, note that $525=3 \times 7 \times 5 \times 5$. Then, taking the equation modulo 7 gives that $7 \mid x$; let $x=7 x^{\prime}$ for some nonnegative integer $x^{\prime}$. Similarly, we can write $y=5 y^{\prime}$ and $z=3 z^{\prime}$ for some nonnegative integers $y^{\prime}, z^{\prime}$. Then, after substitution and division of both sides by 105 , the given equation is equivalent to $x^{\prime}+y^{\prime}+z^{\prime}=5$. This is the same as the problem of placing 2 dividers among 5 balls, so is $\binom{7}{2}=21$.","HMMT November 2012 Guts #19","number_theory","numerical","True","4","21","5.0"
